ticker,metric,fiscal_year,period_end,value,tag_used,accession
V,revenue,2021,2021-09-30,24105000000,RevenueFromContractWithCustomerExcludingAssessedTax,0001403161-21-000060
V,revenue,2022,2022-09-30,29310000000,RevenueFromContractWithCustomerExcludingAssessedTax,0001403161-22-000081
V,revenue,2023,2023-09-30,32653000000,RevenueFromContractWithCustomerExcludingAssessedTax,0001403161-23-000099
V,revenue,2024,2024-09-30,35926000000,RevenueFromContractWithCustomerExcludingAssessedTax,0001403161-24-000058
V,revenue,2025,2025-09-30,40000000000,RevenueFromContractWithCustomerExcludingAssessedTax,0001403161-25-000089
V,operating_income,2009,2009-09-30,3538000000,OperatingIncomeLoss,0001193125-09-239249
V,operating_income,2010,2010-09-30,4589000000,OperatingIncomeLoss,0001193125-10-265236
V,operating_income,2011,2011-09-30,5456000000,OperatingIncomeLoss,0001193125-11-315956
V,operating_income,2012,2012-09-30,2139000000,OperatingIncomeLoss,0001384108-12-000011
V,operating_income,2013,2013-09-30,7239000000,OperatingIncomeLoss,0001403161-13-000011
V,operating_income,2014,2014-09-30,7697000000,OperatingIncomeLoss,0001403161-14-000017
V,operating_income,2015,2015-09-30,9064000000,OperatingIncomeLoss,0001403161-15-000013
V,operating_income,2016,2016-09-30,7883000000,OperatingIncomeLoss,0001403161-16-000058
V,operating_income,2017,2017-09-30,12144000000,OperatingIncomeLoss,0001403161-17-000044
V,operating_income,2018,2018-09-30,12954000000,OperatingIncomeLoss,0001403161-18-000055
V,operating_income,2019,2019-09-30,15001000000,OperatingIncomeLoss,0001403161-19-000050
V,operating_income,2020,2020-09-30,14081000000,OperatingIncomeLoss,0001403161-20-000070
V,operating_income,2021,2021-09-30,15804000000,OperatingIncomeLoss,0001403161-21-000060
V,operating_income,2022,2022-09-30,18813000000,OperatingIncomeLoss,0001403161-22-000081
V,operating_income,2023,2023-09-30,21000000000,OperatingIncomeLoss,0001403161-23-000099
V,operating_income,2024,2024-09-30,23595000000,OperatingIncomeLoss,0001403161-24-000058
V,operating_income,2025,2025-09-30,23994000000,OperatingIncomeLoss,0001403161-25-000089
V,net_income,2009,2009-09-30,2353000000,NetIncomeLoss,0001193125-09-239249
V,net_income,2010,2010-09-30,2966000000,NetIncomeLoss,0001193125-10-265236
V,net_income,2011,2011-09-30,3650000000,NetIncomeLoss,0001193125-11-315956
V,net_income,2012,2012-09-30,2144000000,NetIncomeLoss,0001384108-12-000011
V,net_income,2013,2013-09-30,4980000000,NetIncomeLoss,0001403161-13-000011
V,net_income,2014,2014-09-30,5438000000,NetIncomeLoss,0001403161-14-000017
V,net_income,2015,2015-09-30,6328000000,NetIncomeLoss,0001403161-15-000013
V,net_income,2016,2016-09-30,5991000000,NetIncomeLoss,0001403161-16-000058
